row_id,company,country,product,product_normalized,fuel_family,region,effective_datetime,year,month,day,price_local_per_litre,currency,unit,delta_local_per_litre,has_delta,is_e10,is_e5,is_diesel,price_band,source_name,source_url,extraction_method
1,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2017-03-30T00:00:00Z,2017,3,30,2.11,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
2,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2017-04-06T00:00:00Z,2017,4,6,2.08,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
3,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2017-04-13T00:00:00Z,2017,4,13,2.16,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
4,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2017-04-20T00:00:00Z,2017,4,20,2.21,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
5,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2017-04-27T00:00:00Z,2017,4,27,2.14,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
6,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2017-05-04T00:00:00Z,2017,5,4,2.08,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
7,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2017-05-11T00:00:00Z,2017,5,11,1.95,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
8,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2017-05-18T00:00:00Z,2017,5,18,1.99,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
9,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2017-05-25T00:00:00Z,2017,5,25,2.03,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
10,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2017-06-01T00:00:00Z,2017,6,1,2.02,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
