company,country,product,region,effective_datetime,price_local_per_litre,currency,unit,delta_local_per_litre,source_name,source_url,extraction_method
Government of Malaysia,Malaysia,RON95 petrol,Malaysia,2017-03-30T00:00:00Z,2.13,MYR,MYR/litre,NA,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
Government of Malaysia,Malaysia,RON97 petrol,Malaysia,2017-03-30T00:00:00Z,2.41,MYR,MYR/litre,NA,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
Government of Malaysia,Malaysia,Diesel Peninsular Malaysia,Peninsular Malaysia,2017-03-30T00:00:00Z,2.11,MYR,MYR/litre,NA,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
Government of Malaysia,Malaysia,Diesel East Malaysia,East Malaysia,2017-03-30T00:00:00Z,2.11,MYR,MYR/litre,NA,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
Government of Malaysia,Malaysia,RON95 petrol,Malaysia,2017-04-06T00:00:00Z,2.16,MYR,MYR/litre,NA,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
Government of Malaysia,Malaysia,RON97 petrol,Malaysia,2017-04-06T00:00:00Z,2.43,MYR,MYR/litre,NA,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
Government of Malaysia,Malaysia,Diesel Peninsular Malaysia,Peninsular Malaysia,2017-04-06T00:00:00Z,2.08,MYR,MYR/litre,NA,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
Government of Malaysia,Malaysia,Diesel East Malaysia,East Malaysia,2017-04-06T00:00:00Z,2.08,MYR,MYR/litre,NA,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
Government of Malaysia,Malaysia,RON95 petrol,Malaysia,2017-04-13T00:00:00Z,2.24,MYR,MYR/litre,NA,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
Government of Malaysia,Malaysia,RON97 petrol,Malaysia,2017-04-13T00:00:00Z,2.52,MYR,MYR/litre,NA,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
Government of Malaysia,Malaysia,Diesel Peninsular Malaysia,Peninsular Malaysia,2017-04-13T00:00:00Z,2.16,MYR,MYR/litre,NA,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
Government of Malaysia,Malaysia,Diesel East Malaysia,East Malaysia,2017-04-13T00:00:00Z,2.16,MYR,MYR/litre,NA,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
Government of Malaysia,Malaysia,RON95 petrol,Malaysia,2017-04-20T00:00:00Z,2.27,MYR,MYR/litre,NA,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
Government of Malaysia,Malaysia,RON97 petrol,Malaysia,2017-04-20T00:00:00Z,2.54,MYR,MYR/litre,NA,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
Government of Malaysia,Malaysia,Diesel Peninsular Malaysia,Peninsular Malaysia,2017-04-20T00:00:00Z,2.21,MYR,MYR/litre,NA,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
Government of Malaysia,Malaysia,Diesel East Malaysia,East Malaysia,2017-04-20T00:00:00Z,2.21,MYR,MYR/litre,NA,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
Government of Malaysia,Malaysia,RON95 petrol,Malaysia,2017-04-27T00:00:00Z,2.21,MYR,MYR/litre,NA,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
Government of Malaysia,Malaysia,RON97 petrol,Malaysia,2017-04-27T00:00:00Z,2.49,MYR,MYR/litre,NA,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
Government of Malaysia,Malaysia,Diesel Peninsular Malaysia,Peninsular Malaysia,2017-04-27T00:00:00Z,2.14,MYR,MYR/litre,NA,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
Government of Malaysia,Malaysia,Diesel East Malaysia,East Malaysia,2017-04-27T00:00:00Z,2.14,MYR,MYR/litre,NA,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
Government of Malaysia,Malaysia,RON95 petrol,Malaysia,2017-05-04T00:00:00Z,2.11,MYR,MYR/litre,NA,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
