date,dau_do_0_001s_v,dau_do_0_005s_iv,dau_do_0_05s_ii,dau_fo_3_s,dau_fo_3_5_s,dau_ko,xang_e10_ron_95_iii,xang_e5_ron_92_ii,xang_ron_95_iii,xang_ron_95_iv
2018-08-22,NA,17730,17680,0,0,16260,NA,19610,21170,21370
2018-09-06,NA,18110,18060,0,0,16550,NA,19910,21470,21670
2018-09-21,NA,18170,18120,0,0,16680,NA,20230,21770,21970
2018-10-06,NA,18660,18610,0,0,17080,NA,20900,22340,22540
2018-10-22,NA,18660,18610,0,0,17080,NA,20680,22200,22400
2018-11-06,NA,18590,18540,0,0,17080,NA,19600,21060,21260
2018-11-21,NA,17680,17630,0,0,16240,NA,18620,19970,20170
2018-12-06,NA,16300,16250,0,0,15250,NA,17180,18450,18650
2018-12-21,NA,16050,16000,0,0,15000,NA,16780,18140,18340
2019-01-01,NA,14950,14900,0,0,14180,NA,16270,17600,17800
2019-01-16,NA,NA,14900,0,0,14180,NA,16270,17600,NA
2019-01-31,NA,NA,14900,0,0,14180,NA,16270,17600,NA
2019-02-15,NA,NA,14900,0,0,14180,NA,16270,17600,NA
2019-03-02,NA,NA,15860,0,0,14880,NA,17210,18540,NA
2019-03-18,NA,NA,15860,0,0,14880,NA,17210,18540,NA
2019-04-02,NA,NA,17080,0,0,15970,NA,18580,20030,NA
2019-04-17,NA,NA,17380,0,0,16260,NA,19700,21230,NA
2019-05-02,NA,NA,17690,0,0,16620,NA,20680,22190,NA
2019-05-17,NA,NA,17610,0,0,16420,NA,20480,21590,NA
2019-06-01,NA,NA,17390,0,0,16220,NA,20210,21210,NA
2019-06-17,NA,NA,16650,0,0,15610,NA,19230,20130,NA
2019-07-02,NA,NA,16940,0,0,15930,NA,19650,20510,NA
2019-07-17,NA,NA,16990,0,0,15950,NA,20270,21230,NA
2019-08-01,NA,NA,17020,0,0,15960,NA,19900,20910,NA
2019-08-16,NA,NA,16500,0,0,15390,NA,19350,20400,NA
2019-08-31,NA,NA,16330,0,0,15320,NA,19220,20230,NA
2019-09-16,NA,NA,16200,0,0,15360,NA,19110,20140,NA
2019-10-01,NA,NA,16630,0,0,15780,NA,19780,21060,NA
2019-10-16,NA,NA,16220,0,0,15250,NA,19470,20790,NA
2019-10-31,NA,NA,16050,0,0,15130,NA,19250,20440,NA
2019-11-15,NA,NA,15960,0,0,14960,NA,19500,20790,NA
2019-11-30,NA,NA,15980,0,0,14960,NA,19810,21070,NA
2019-12-16,NA,NA,16060,NA,NA,15010,NA,19720,20880,NA
2019-12-31,NA,NA,16590,NA,NA,15580,NA,19880,20990,NA
2020-01-15,NA,NA,16540,NA,NA,15530,NA,19840,20910,NA
2020-01-30,NA,NA,16130,NA,NA,15060,NA,19260,20120,NA
2020-02-14,NA,NA,15170,NA,NA,13950,NA,18500,19380,NA
2020-02-29,NA,NA,14780,NA,NA,13670,NA,18340,19120,NA
2020-03-15,NA,NA,13030,NA,NA,11840,NA,16050,16810,NA
2020-03-29,NA,NA,11250,NA,NA,9140,NA,11950,12560,NA
2020-04-13,NA,NA,10820,NA,NA,8630,NA,11340,11930,NA
2020-04-28,NA,NA,9940,NA,NA,7960,NA,10940,11630,NA
2020-05-13,NA,NA,9850,NA,NA,7880,NA,11520,12230,NA
2020-05-28,NA,NA,10740,NA,NA,8750,NA,12400,13120,NA
2020-06-12,NA,NA,11510,NA,NA,9610,NA,13390,14080,NA
2020-06-27,NA,NA,12110,NA,NA,10030,NA,14250,14970,NA
2020-07-13,NA,NA,12110,NA,NA,10030,NA,14250,14970,NA
2020-07-28,NA,NA,12390,NA,NA,10270,NA,14400,14970,NA
2020-08-12,NA,NA,12200,NA,NA,10200,NA,14400,14920,NA
2020-08-27,NA,NA,11960,NA,NA,10120,NA,14400,15110,NA
2020-09-11,NA,NA,11510,NA,NA,9590,NA,14260,14980,NA
2020-09-26,NA,NA,11120,NA,NA,9440,NA,14210,14980,NA
2020-10-12,NA,NA,11120,NA,NA,9590,NA,14260,15120,NA
2020-10-27,NA,NA,11210,NA,NA,9710,NA,14100,14940,NA
2020-11-11,NA,NA,10830,NA,NA,9560,NA,13880,14700,NA
2020-11-26,NA,NA,11430,NA,NA,10130,NA,14490,15350,NA
2020-12-11,NA,NA,11890,NA,NA,10770,NA,15120,16000,NA
2020-12-26,NA,NA,12370,NA,NA,11180,NA,15510,16470,NA
2021-01-11,NA,NA,12640,NA,NA,11550,NA,15940,16930,NA
2021-01-26,NA,NA,13040,NA,NA,11900,NA,16300,17270,NA
2021-02-10,NA,NA,13040,NA,NA,11900,NA,16300,17270,NA
2021-02-25,NA,NA,13840,NA,NA,12610,NA,17030,18080,NA
2021-03-12,NA,NA,14400,NA,NA,13170,NA,17720,18880,NA
2021-03-27,NA,NA,14240,NA,NA,13000,NA,17850,19040,NA
2021-04-12,NA,NA,14140,NA,NA,12820,NA,17800,18970,NA
2021-04-27,NA,NA,14320,NA,NA,13250,NA,17980,19160,NA
2021-05-12,NA,NA,14770,NA,NA,13820,NA,18420,19530,NA
2021-05-27,NA,NA,14770,NA,NA,13820,NA,18420,19530,NA
2021-06-11,NA,NA,15440,NA,NA,14410,NA,19040,20160,NA
2021-06-26,NA,NA,16110,NA,NA,15050,NA,19760,20910,NA
2021-07-12,NA,NA,16530,NA,NA,15500,NA,20610,21780,NA
2021-07-27,NA,NA,16370,NA,NA,15390,NA,20490,21680,NA
2021-08-11,NA,NA,16170,NA,NA,15170,NA,20490,21680,NA
2021-08-26,NA,NA,15660,NA,NA,14760,NA,19890,21130,NA
2021-09-10,NA,NA,16020,NA,NA,15080,NA,20140,21390,NA
2021-09-25,NA,NA,16580,NA,NA,15640,NA,20710,21940,NA
2021-10-11,NA,NA,17540,NA,NA,16620,NA,21680,22870,NA
2021-10-26,NA,NA,18710,NA,NA,17630,NA,23110,24330,NA
2021-11-10,NA,NA,18710,NA,NA,17630,NA,23660,24990,NA
2021-11-25,NA,NA,18380,NA,NA,17190,NA,22910,23900,NA
2021-12-10,NA,NA,17330,NA,NA,16320,NA,22080,22800,NA
2021-12-25,NA,NA,17570,NA,NA,16510,NA,22550,23290,NA
2022-01-11,NA,NA,18230,NA,NA,17130,NA,23150,23870,NA
2022-01-21,NA,NA,18900,NA,NA,17790,NA,23590,24360,NA
2022-02-11,NA,NA,19860,NA,NA,18750,NA,24570,25320,NA
2022-02-21,NA,NA,20800,NA,NA,19500,NA,25530,26280,NA
2022-03-01,NA,NA,21310,NA,NA,19970,NA,26070,26830,NA
2022-03-11,NA,NA,25260,NA,NA,23910,NA,28980,29820,NA
2022-03-21,NA,NA,23630,NA,NA,22240,NA,28330,29190,NA
2022-04-01,NA,NA,25080,NA,NA,23760,NA,27300,28150,NA
2022-04-12,NA,NA,24380,NA,NA,23020,NA,26470,27310,NA
2022-04-21,NA,NA,25350,NA,NA,23820,NA,27130,27990,NA
2022-05-04,NA,NA,25530,NA,NA,23820,NA,27460,28430,NA
2022-05-11,NA,NA,26650,NA,NA,25160,NA,28950,29980,NA
