company,country,product,region,effective_datetime,price_local_per_litre,currency,unit,delta_local_per_litre,source_name,source_url,extraction_method
Petrolimex,Vietnam,xang ron 95 v zone1 price,Vietnam,2022-12-01T00:00:00Z,23830,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,xang ron 95 v zone2 price,Vietnam,2022-12-01T00:00:00Z,24300,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,xang ron 95 iii zone1 price,Vietnam,2022-12-01T00:00:00Z,22700,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,xang ron 95 iii zone2 price,Vietnam,2022-12-01T00:00:00Z,23150,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,xang e5 ron 92 ii zone1 price,Vietnam,2022-12-01T00:00:00Z,21670,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,xang e5 ron 92 ii zone2 price,Vietnam,2022-12-01T00:00:00Z,22100,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,do 0 05s ii zone1 price,Vietnam,2022-12-01T00:00:00Z,23210,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,do 0 05s ii zone2 price,Vietnam,2022-12-01T00:00:00Z,23670,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,do 0 001s v zone1 price,Vietnam,2022-12-01T00:00:00Z,25190,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,do 0 001s v zone2 price,Vietnam,2022-12-01T00:00:00Z,25690,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,dau hoa 2 k zone1 price,Vietnam,2022-12-01T00:00:00Z,23560,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,dau hoa 2 k zone2 price,Vietnam,2022-12-01T00:00:00Z,24030,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,xang ron 95 v zone1 price,Vietnam,2022-12-12T00:00:00Z,22330,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,xang ron 95 v zone2 price,Vietnam,2022-12-12T00:00:00Z,22770,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,xang ron 95 iii zone1 price,Vietnam,2022-12-12T00:00:00Z,21200,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,xang ron 95 iii zone2 price,Vietnam,2022-12-12T00:00:00Z,21620,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,xang e5 ron 92 ii zone1 price,Vietnam,2022-12-12T00:00:00Z,20340,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,xang e5 ron 92 ii zone2 price,Vietnam,2022-12-12T00:00:00Z,20740,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,do 0 05s ii zone1 price,Vietnam,2022-12-12T00:00:00Z,21670,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,do 0 05s ii zone2 price,Vietnam,2022-12-12T00:00:00Z,22100,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,do 0 001s v zone1 price,Vietnam,2022-12-12T00:00:00Z,23650,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,do 0 001s v zone2 price,Vietnam,2022-12-12T00:00:00Z,24120,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,dau hoa 2 k zone1 price,Vietnam,2022-12-12T00:00:00Z,21900,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,dau hoa 2 k zone2 price,Vietnam,2022-12-12T00:00:00Z,22330,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,xang ron 95 v zone1 price,Vietnam,2022-12-21T00:00:00Z,21830,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,xang ron 95 v zone2 price,Vietnam,2022-12-21T00:00:00Z,22770,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,xang ron 95 iii zone1 price,Vietnam,2022-12-21T00:00:00Z,20700,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,xang ron 95 iii zone2 price,Vietnam,2022-12-21T00:00:00Z,21620,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,xang e5 ron 92 ii zone1 price,Vietnam,2022-12-21T00:00:00Z,19970,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,xang e5 ron 92 ii zone2 price,Vietnam,2022-12-21T00:00:00Z,20740,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,do 0 05s ii zone1 price,Vietnam,2022-12-21T00:00:00Z,21600,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,do 0 05s ii zone2 price,Vietnam,2022-12-21T00:00:00Z,22100,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,do 0 001s v zone1 price,Vietnam,2022-12-21T00:00:00Z,23580,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,do 0 001s v zone2 price,Vietnam,2022-12-21T00:00:00Z,24120,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
