year,month,fuel_family,n_rows,avg_vnd_price
2018,8,Diesel,2,17705
2018,8,E5,1,19610
2018,8,Other,1,16260
2018,8,RON95+,2,21270
2018,9,Diesel,4,18115
2018,9,E5,2,20070
2018,9,Other,2,16615
2018,9,RON95+,4,21720
2018,10,Diesel,4,18635
2018,10,E5,2,20790
2018,10,Other,2,17080
2018,10,RON95+,4,22370
2018,11,Diesel,4,18110
2018,11,E5,2,19110
2018,11,Other,2,16660
2018,11,RON95+,4,20615
2018,12,Diesel,4,16150
2018,12,E5,2,16980
2018,12,Other,2,15125
2018,12,RON95+,4,18395
2019,1,Diesel,4,14912.5
2019,1,E5,3,16270
2019,1,Other,3,14180
2019,1,RON95+,4,17650
2019,2,Diesel,1,14900
2019,2,E5,1,16270
2019,2,Other,1,14180
2019,2,RON95+,1,17600
2019,3,Diesel,2,15860
2019,3,E5,2,17210
2019,3,Other,2,14880
2019,3,RON95+,2,18540
2019,4,Diesel,2,17230
2019,4,E5,2,19140
2019,4,Other,2,16115
2019,4,RON95+,2,20630
2019,5,Diesel,2,17650
2019,5,E5,2,20580
2019,5,Other,2,16520
2019,5,RON95+,2,21890
2019,6,Diesel,2,17020
2019,6,E5,2,19720
2019,6,Other,2,15915
2019,6,RON95+,2,20670
2019,7,Diesel,2,16965
2019,7,E5,2,19960
2019,7,Other,2,15940
2019,7,RON95+,2,20870
2019,8,Diesel,3,16616.666666666668
2019,8,E5,3,19490
2019,8,Other,3,15556.666666666666
2019,8,RON95+,3,20513.333333333332
2019,9,Diesel,1,16200
2019,9,E5,1,19110
2019,9,Other,1,15360
2019,9,RON95+,1,20140
2019,10,Diesel,3,16300
2019,10,E5,3,19500
2019,10,Other,3,15386.666666666666
2019,10,RON95+,3,20763.333333333332
2019,11,Diesel,2,15970
2019,11,E5,2,19655
2019,11,Other,2,14960
2019,11,RON95+,2,20930
2019,12,Diesel,2,16325
2019,12,E5,2,19800
2019,12,Other,2,15295
2019,12,RON95+,2,20935
2020,1,Diesel,2,16335
2020,1,E5,2,19550
2020,1,Other,2,15295
2020,1,RON95+,2,20515
2020,2,Diesel,2,14975
2020,2,E5,2,18420
2020,2,Other,2,13810
2020,2,RON95+,2,19250
2020,3,Diesel,2,12140
2020,3,E5,2,14000
2020,3,Other,2,10490
2020,3,RON95+,2,14685
2020,4,Diesel,2,10380
